max_camber,camber_pos,thickness,reynolds,aoa,cl,cd
0.057,0.436,0.053,3730568,7.6,1.4065,0.01315
0.044,0.212,0.099,513301,8.5,1.2953,0.01458
0.059,0.186,0.075,1362574,3.2,0.9119,0.01004
0.089,0.301,0.139,1643262,11.3,1.8529,0.01855
0.085,0.542,0.083,681903,-2.3,0.8314,0.00836
0.076,0.239,0.143,4559370,-3.6,0.3586,0.00815
0.014,0.257,0.084,1042861,7.0,0.9022,0.01141
0.061,0.367,0.159,1152944,-1.2,0.4821,0.00834
0.078,0.151,0.192,4570174,2.6,0.7815,0.01119
0.08,0.573,0.109,3904096,6.8,1.4444,0.01521
0.071,0.239,0.186,450805,-3.5,0.3274,0.01349
0.069,0.666,0.178,2173402,8.4,1.2954,0.01917
0.048,0.128,0.076,4661829,0.7,0.538,0.00772
0.004,0.3,0.064,1242161,0.5,0.0952,0.00362
0.022,0.738,0.145,3777862,9.8,1.2633,0.0118
0.1,0.709,0.179,3850612,7.2,1.4748,0.02869
0.09,0.795,0.128,1148908,8.6,1.706,0.03919
0.071,0.311,0.14,2046525,3.8,1.1126,0.00812
0.068,0.479,0.17,4084217,2.5,0.9246,0.00688
0.029,0.148,0.066,767428,10.8,1.3217,0.02373
0.058,0.647,0.077,3971429,-0.0,0.8728,0.0037
0.067,0.735,0.153,4282041,10.1,1.5741,0.02205
0.054,0.511,0.165,3847104,11.0,1.5122,0.01885
0.044,0.69,0.07,1834829,6.0,1.2205,0.01224
0.069,0.31,0.162,1505319,-1.2,0.5153,0.00887
0.064,0.407,0.159,3012446,9.5,1.5532,0.01287
0.09,0.494,0.14,4334453,6.2,1.5107,0.00969
0.09,0.459,0.067,2536646,2.9,1.356,0.00659
0.017,0.35,0.171,3195645,7.7,0.9621,0.00863
0.083,0.454,0.158,957680,-4.1,0.4734,0.00868
0.052,0.49,0.119,4123842,5.9,1.1799,0.00846
0.027,0.744,0.108,799352,9.3,1.24,0.01795
0.065,0.758,0.051,4510441,7.1,1.6438,0.02073
0.065,0.261,0.151,2180106,4.7,1.1381,0.00878
0.042,0.531,0.18,1922960,8.8,1.2435,0.01332
0.02,0.702,0.192,2046620,6.2,0.7021,0.00893
0.048,0.253,0.1,711924,-2.2,0.2739,0.00914
0.075,0.728,0.093,4465114,7.5,1.5982,0.02026
0.07,0.278,0.094,4739291,4.1,1.1695,0.00748
0.076,0.26,0.12,3852714,5.3,1.3323,0.00802
0.056,0.625,0.186,794696,10.1,1.3488,0.02305
0.061,0.738,0.058,547739,3.8,1.1529,0.01766
0.022,0.22,0.074,786666,-2.8,-0.0599,0.00812
0.018,0.589,0.2,3228458,-3.7,-0.1476,0.00639
0.025,0.664,0.157,1597672,-4.0,-0.0359,0.00631
0.1,0.677,0.06,2064384,1.2,1.5775,0.00571
0.013,0.722,0.115,1691111,7.0,0.9392,0.01035
0.085,0.735,0.161,1794078,3.2,1.1539,0.01666
0.017,0.249,0.157,2691519,5.8,0.7499,0.00682
0.006,0.406,0.134,1156910,7.7,0.9494,0.0115
0.033,0.225,0.169,4048411,9.0,1.3072,0.00914
0.057,0.682,0.093,865734,1.2,0.972,0.00726
0.062,0.32,0.089,4253356,7.0,1.378,0.00932
0.049,0.269,0.083,1353538,3.8,0.9183,0.00733
0.058,0.665,0.122,3706897,3.7,1.0468,0.00858
0.048,0.359,0.142,4264194,9.7,1.448,0.012
0.091,0.59,0.084,1192683,-0.0,1.2217,0.00664
0.086,0.6,0.098,1759900,6.0,1.4686,0.01565
0.085,0.752,0.092,1156613,4.7,1.3879,0.02437
0.084,0.558,0.097,2861335,8.1,1.5505,0.02033
0.06,0.131,0.168,2322468,9.2,1.3822,0.01567
0.088,0.62,0.196,3589560,-0.4,0.8915,0.00682
0.061,0.443,0.159,2421439,0.6,0.6914,0.00675
0.027,0.655,0.123,3491428,-1.6,0.2472,0.00442
0.094,0.464,0.11,1681779,0.7,1.1191,0.00719
0.096,0.203,0.134,3098415,6.0,1.3938,0.01275
0.063,0.778,0.195,4715228,-1.7,0.4273,0.00931
0.044,0.436,0.133,1774832,8.9,1.3086,0.01288
0.031,0.34,0.07,3805814,8.3,1.2027,0.01069
0.092,0.36,0.122,3476411,-2.3,0.7229,0.0075
0.016,0.472,0.066,1710196,9.6,1.1361,0.02205
0.079,0.492,0.17,2920463,-0.1,0.7887,0.00686
0.036,0.296,0.14,4353060,2.2,0.601,0.00582
0.072,0.528,0.181,3784480,8.5,1.4913,0.01595
0.081,0.274,0.104,3224521,8.4,1.6594,0.00957
0.013,0.266,0.13,2120854,1.8,0.3095,0.00547
0.044,0.304,0.056,4585361,1.1,0.5876,0.00587
0.026,0.207,0.195,2216830,11.7,1.3934,0.01413
0.032,0.683,0.083,3749583,3.7,0.8489,0.00824
0.025,0.279,0.184,2277288,7.4,1.0033,0.00871
0.054,0.119,0.098,2115639,6.2,1.1571,0.01159
0.01,0.395,0.075,2285771,1.7,0.287,0.00442
0.023,0.53,0.082,4199223,-4.4,-0.1647,0.00554
0.008,0.621,0.174,171001,-3.0,-0.355,0.01693
0.013,0.395,0.143,1283725,1.6,0.2953,0.00589
0.076,0.344,0.123,3488422,9.4,1.6961,0.01105
0.099,0.227,0.194,1240459,-1.3,0.5779,0.01335
0.002,0.544,0.062,4318549,2.5,0.2771,0.0052
0.04,0.128,0.09,4818181,3.8,0.8025,0.00802
0.08,0.217,0.089,3617089,5.6,1.3847,0.00942
0.018,0.429,0.164,2501589,4.9,0.6353,0.00645
0.026,0.309,0.092,3430438,-4.3,-0.1705,0.00621
0.007,0.129,0.057,3688214,1.3,0.1997,0.00429
0.056,0.227,0.089,2540047,-3.7,0.169,0.0077
